batch_number,reference_gene,target_organism_name,target_organism_taxonomy_id,pango_lineage,who_label
WA1-HTI-001,N,SARS-CoV-2,2697049,A,
WA1-UVI-001,N,SARS-CoV-2,2697049,A,
B.1.1.7-HTI-001,N,SARS-CoV-2,2697049,B.1.1.7,Alpha
B.1.1.7-UVI-001,N,SARS-CoV-2,2697049,B.1.1.7,Alpha
B.1.351-HTI-001,N,SARS-CoV-2,2697049,B.1.351,Beta
B.1.351-UVI-001,N,SARS-CoV-2,2697049,B.1.351,Beta
P1.HTI-001,N,SARS-CoV-2,2697049,P.1,Gamma
P1.UVI-001,N,SARS-CoV-2,2697049,P.1,Gamma
B.1.617.2-HTI-001,N,SARS-CoV-2,2697049,B.1.617.2,Delta
B.1.617.2-UVI-001,N,SARS-CoV-2,2697049,B.1.617.2,Delta
WA1-HTI-002,N,SARS-CoV-2,2697049,A,
WA1-UVI-002,N,SARS-CoV-2,2697049,A,
WA1-UVI-003,N,SARS-CoV-2,2697049,A,
WA1-UVI-006,N,SARS-CoV-2,2697049,A,
B.1.1.7-HTI-002,N,SARS-CoV-2,2697049,B.1.1.7,Alpha
B.1.1.7-UVI-002,N,SARS-CoV-2,2697049,B.1.1.7,Alpha
BA.1-HTI-001,N,SARS-CoV-2,2697049,BA.1.20,Omicron
BA.1-UVI-001,N,SARS-CoV-2,2697049,BA.1.20,Omicron
B.1.621-HTI-001,N,SARS-CoV-2,2697049,B.1.621,Mu
B.1.621-UVI-001,N,SARS-CoV-2,2697049,B.1.621,Mu
BA.2.3-HTI-001,N,SARS-CoV-2,2697049,BA.2.3,Omicron
BA.2.3-HTI-001,N,SARS-CoV-2,2697049,BA.2.3,Omicron
BA.1-UVI-002,N,SARS-CoV-2,2697049,BA.1.20,Omicron
BA.2.12.1-UVI-001,N,SARS-CoV-2,2697049,BA.2.12.1,Omicron
BA.2.12.1-HTI-001,N,SARS-CoV-2,2697049,BA.2.12.1,Omicron
BA.4.1-UVI-001,N,SARS-CoV-2,2697049,BA.4.1,Omicron
BA.4.1-HTI-001,N,SARS-CoV-2,2697049,BA.4.1,Omicron
BA.5.1-UVI-001,N,SARS-CoV-2,2697049,BA.5.1,Omicron
BA.5.1-HTI-001,N,SARS-CoV-2,2697049,BA.5.1,Omicron
BF.7-UVI-001,N,SARS-CoV-2,2697049,BF.7,Omicron
BF.7-HTI-001,N,SARS-CoV-2,2697049,BF.7,Omicron
BQ.1-UVI-001,N,SARS-CoV-2,2697049,BQ.1,Omicron
BQ.1-HTI-001,N,SARS-CoV-2,2697049,BQ.1,Omicron
B.1.617.2-UVI-002,N,SARS-CoV-2,2697049,B.1.617.2,Delta
XBB.1.5-HTI-001,N,SARS-CoV-2,2697049,XBB.1.5,Omicron
XBB.1.5-UVC-001,N,SARS-CoV-2,2697049,XBB.1.5,Omicron
WA1-UVI-007,N,SARS-CoV-2,2697049,A,
BA.1.20-UVI-003,N,SARS-CoV-2,2697049,BA.1.20,Omicron
CoV229E-HTI-001,M,Human coronavirus 229E,11137,,
CoV229E-UVI-001,M,Human coronavirus 229E,11137,,
CoVOC43-HTI-001,M,Human coronavirus OC43,31631,,
CoVOC43-UVI-001,M,Human coronavirus OC43,31631,,
RSVA-HTI-001,N,RSV A2,11259,,
RSVA-UVI-001,N,RSV A2,11259,,
RSVB-HTI-001,N,RSV B,11251,,
RSVB-UVI-001,N,RSV B,11251,,
IAVH3N2-HTI-001,M,Influenza A virus H3N2,41857,,
IAVH3N2-UVI-001,M,Influenza A virus H3N2,41857,,
IAVH1N1-HTI-001,M,Influenza A virus H1N1,1323429,,
IAVH1N1-UVI-001,M,Influenza A virus H1N1,1323429,,
IBV2009-HTI-001,M,Influenza B virus,656883,,
IBV2009-UVI-001,M,Influenza B virus,656883,,
